"%1 is enabled for checkout. This may lead to duplicated rates in checkout.","%1 ist für den Checkout aktiviert. Dies kann zur mehrfachen Anzeige derselben Versandkosten führen."
"%1 provides rates for DHL Parcel Germany.","%1 stellt Versandkosten für DHL Paket bereit."
"%1DHL Parcel Germany%2 is an ideal complement to the AUTOCOMPLETE and ADDRESSFACTORY services of Deutsche Post Direkt.","%1DHL Paket%2 ist eine ideale Ergänzung zu den Services AUTOCOMPLETE und ADDRESSFACTORY der Deutschen Post Direkt."
"--Please Select--","--Bitte wählen--"
"A sender's reference number can be configured per destination country. It is used by customs authorities to identify economics operators an/or other persons involved.","Je Zielland kann eine Absender-Kennnummer hinterlegt werden. Sie wird durch die Zollbehörden zur Identifikation der Wirtschaftsbeteiligten verwendet."
"Abandon (free of charge)","Preisgabe des Paketes (entgeltfrei)"
"Account Settings",Kontoeinstellungen
"Additional Insurance",Transportversicherung
"Additional Services","Zusätzliche Dienstleistungen"
"Addressee's Customs Reference","Zollreferenz des Empfängers"
"Adjust your parcel delivery flexibly to your schedule. Receive your packages while on the go at one of over 28,000 pickup locations in Germany - at a DHL parcel station or post office. Wherever it best suits your needs.","Passen Sie die Paketlieferung flexibel Ihrem Alltag an: Holen Sie Ihre Pakete unterwegs an einer der über 28.000 Abholstationen ab. Beispielsweise an einer DHL Packstation oder Postfiliale - einfach dort, wo es Ihnen am besten passt."
"All orders that are placed after the configured time are assumed to be handed over to DHL Paket on the next business day. All orders that are placed before that time are expected to be handed over to DHL Paket on the same day. Value is interpreted as in the timezone configured for the current website.","Es wird davon ausgegangen, dass Bestellungen, die nach der konfigurierten Zeit eingehen, am nachfolgend konfigurierten Tag an DHL übergeben werden. Diese Einstellung beeinflusst das bei der Label-Buchung übergebene Datum sowie die Verfügbarkeit von Services im Checkout."
"Allow customers to check out with <em>DHL Paket</em> shipping methods.","<em>DHL Paket</em> als Versandart im Checkout anbieten."
"Allow customers to declare a deposit location during checkout.","Lassen Sie Kunden im Checkout einen bevorzugten Ablageort bestimmen."
"Allow customers to exclude delivery to a neighbor.","Lassen Sie Kunden im Checkout ausschließen, dass die Sendung an einen Nachbarn zugestellt wird."
"Allow customers to get shipments delivered to a parcel station.","Lassen Sie Kunden Sendungen an eine Packstation liefern."
"Allow customers to have their parcel delivered to a drop point closest to their address.","Lassen Sie Kunden ihre Lieferung an einen naheliegenden Paketshop zustellen."
"Allow customers to name a preferred neighbor during checkout.","Lassen Sie Kunden im Checkout einen bevorzugten Nachbar für die Zustellung bestimmen."
"Allow customers to request parcel notification updates via e-mail by DHL during checkout.","Lassen Sie Kunden im Checkout die Paketankündigung aktivieren. Die E-Mail-Adresse des Kunden wird von DHL ausschließlich für die Ankündigung zu dieser Sendung verwendet."
"Allow customers to select a delivery day.","Lassen Sie Kunden im Checkout einen bevorzugten Liefertag bestimmen."
"Allow for Specific Countries","Zulassen nur für bestimmte Länder"
"Alternative Email Address","Alternative E-Mail-Adresse"
"An error occurred while preparing package data.","Während des Aufbereitens der Paketdaten ist ein Fehler aufgetreten."
"Applicable Countries","Anwendbare Länder"
"Application Mode",Umgebung
"Attestation Number",Bescheinigungs-Nummer
"Behavior in Cases of Unavailability","Verhalten bei Nichtverfügbarkeit"
"Billing Number",Abrechnungsnummer
"Bulky Goods",Sperrgut
"Business Customer Shipping",Geschäftskundenversand
Checkout,Checkout
"Checkout Presentation",Checkout-Darstellung
"Choose a weather-protected and non-visible place on your property where we can deposit the parcel in your absence.","Bestimmen Sie einen wettergeschützten und nicht einsehbaren Platz auf Ihrem Grundstück, an dem wir das Paket während Ihrer Abwesenheit hinterlegen dürfen."
"Choose one of the displayed days for your parcel delivery. Other days are not possible due to delivery processes.","Wählen Sie einen der angezeigten Tage als Liefertag für Ihre Paketzustellung. Andere Tage sind aufgrund von Lieferprozessen nicht möglich."
"Choosing drop-off delivery will adjust shipping costs by $1 including VAT.","Die Auswahl der Droppoint-Zustellung passt die Versandkosten um $1 inkl. MwSt. an."
City,Stadt
"Closest Drop Point Adjustment Charge","Preisanpassung Shop-Zustellung"
"Common label laser printing 105 x 148 mm (DIN A5 standard paper, 910-300-300) without additional barcode labels","Common Label Laserdruck 105 x 148 mm (DIN A5 Normalpapier, 910-300-300) ohne Zusatzetiketten"
"Common label laser printing 105 x 148 mm (DIN-A5 standard paper, 910-300-300)","Common Label Laserdruck 105 x 148 mm (DIN A5 Normalpapier, 910-300-300)"
"Common label laser printing 105 x 205 mm (DIN A5 standard paper, 910-300-700)","Common Label Laserdruck 105 x 205 mm (DIN A5 Normalpapier, 910-300-700)"
"Common label laser printing 105 x 205 mm (DIN A5 standard paper, 910-300-700) without additional barcode labels","Common Label Laserdruck 105 x 205 mm (DIN A5 Normalpapier, 910-300-700) ohne Zusatzetiketten"
"Common label laser printing 105 x 208 mm (910-300-710)","Common Label Laserdruck 105 x 208 mm (910-300-710)"
"Common label laser printing A4 standard paper","Common Label Laserdruck A4 Normalpapier"
"Common label thermal printing 103 x 150 mm (910-300-400, 910-300-410)","Common Label Thermodruck 103 x 150 mm (910-300-400, 910-300-410)"
"Common label thermal printing 103 x 199 mm (910-300-600, 910-300-610)","Common Label Thermodruck 103 x 199 mm (910-300-600, 910-300-610)"
Company,Firma
Country,Land
"Create shipping labels & tracking information for your orders directly in the Magento admin panel.","Erzeugen Sie Versandetiketten und Tracking-Informationen direkt in Ihrem Magento-System."
"Custom Message","Benutzerdefinierte Nachricht"
"Customs Reference Numbers","Kennnummern für Zollzwecke"
"Customs Settings",Zolleinstellungen
"DHL Customer Number (EKP)","DHL Kundennummer (EKP)"
"DHL Europaket: V54EPAK","DHL Europaket: V54EPAK"
"DHL Paket International: V53WPAK","DHL Paket International: V53WPAK"
"DHL Paket Taggleich: V06PAK","DHL Paket Taggleich: V06PAK"
"DHL Paket provides parcel shipping across Germany and to more than 220 countries. ","DHL Paket bietet Paketversand in ganz Deutschland und in über 220 Länder."
"DHL Paket: V01PAK","DHL Paket: V01PAK"
"DHL Parcel Germany","DHL Paket"
"DHL Parcel Germany is enabled for checkout.","DHL Paket ist für den Checkout aktiviert."
"DHL Parcel Germany is not enabled for checkout.","DHL Paket ist nicht für den Checkout aktiviert."
"DHL Post Number","DHL Postnummer"
"DHL Preferred Delivery. Delivered just the way you want.","DHL Wunschzustellung. Geliefert wie gewünscht."
"DHL Shipping Service Adjustment","Gebühr DHL Versand-Services"
"DHL Warenpost International: V66WPI","DHL Warenpost International: V66WPI"
"DHL Warenpost National: V62WP","DHL Warenpost National: V62WP"
"DHL contract customers receive the access data to the DHL Business Customer Portal via <em>DHL Paket</em> sales.","DHL-Vertragskunden erhalten die Zugangsdaten zum DHL-Geschäftskundenportal durch einen <em>DHL Paket</em>-Vertriebsmitarbeiter."
"Declare a person in your immediate neighborhood whom we can hand out your parcel. This person should live in the same building, directly opposite or next door.","Bestimmen Sie eine Person in Ihrer unmittelbaren Nachbarschaft, bei der wir Ihr Paket abgeben dürfen. Diese sollte im gleichen Haus, direkt gegenüber oder nebenan wohnen."
"Define the carrier name for the shipping rate in checkout.","Definieren Sie den Namen des Versanddienstleisters im Checkout."
"Define the method name for the shipping rate in checkout.","Definieren Sie den Namen der Versandart im Checkout."
"Deliver to a DHL parcel station, parcel shop or postal outlet","An eine DHL Packstation, einen Paketshop oder eine Postfiliale liefern"
"Delivery Day",Liefertag
"Delivery Day Additional Charge","Aufpreis Liefertag"
"Delivery Day: Delivery on your preferred day","Liefertag: Lieferung an Ihrem bevorzugten Tag"
"Delivery Location","Zustellung an Abholort"
"Delivery Type",Zustellvariante
"Delivery only to recipient or authorized person","Lieferung nur an Empfänger oder bevollmächtigte Person"
"Destination Country",Bestimmungsland
"Disability Access","Barrierefreier Zugang"
Domestic,Inlandsversand
"Door Delivery","Lieferung an die Tür"
"Drop-off Delivery: nearest shop or locker","Droppoint-Zustellung (nächstgelegener Abholort)"
"Drop-off Location",Ablageort
"Drop-off Location Delivery",Ablageort
"Drop-off Location: Delivery to your preferred drop-off location","Ablageort: Lieferung an den gewünschten Ablageort"
"Duties & Taxes","Steuern und Abgaben"
"E.g. garage, terrace","z.B. Garage, Terrasse"
"EKP (customer number) and participation numbers are configured.","EKP (Kundennummer) und Teilnahmenummern sind konfiguriert."
"EKP (customer number) is not configured. Please review your %1.","EKP (Kundennummer) ist nicht hinterlegt. Bitte prüfen Sie Ihre %1."
EU,"Versand innerhalb der EU"
"Electronic Export Notification","Sendung mit Ausfuhranmeldung"
"Enable DHL additional insurance service","Erweiterte Transportversicherung aktivieren"
"Enable DHL bulky goods service","Manuelle Einzelbearbeitung von Sperrgut aktivieren"
"Enable DHL delivery day","Aktivieren Sie den DHL-Liefertag"
"Enable DHL drop-off location delivery","Lieferung an Ablageort aktivieren"
"Enable DHL neighbor delivery","Lieferung an Nachbar aktivieren"
"Enable DHL parcel notification","DHL Paketankündigung aktivieren"
"Enable DHL postal delivery duty paid service","Internationale Transportkosten trägt der Verkäufer"
"Enable DHL retail outlet routing service","Filial-Routing aktivieren"
"Enable DHL return shipment service","DHL Retourenbeileger anfordern"
"Enable No Neighbor Delivery","Keine Nachbarschaftszustellung aktivieren"
"Enable Sandbox Mode","Sandbox-Modus aktivieren"
Enabled,Aktiviert
"Enter your API username, lower case only. Please talk to your account representative to add API access to your business account.","Geben Sie Ihren API Benutzernamen an (keine Großbuchstaben). Bitte sprechen Sie mit Ihrem DHL-Ansprechpartner, um API-Zugang für Ihren Geschäftskunden-Account freizuschalten."
"Enter your email address here if you, as the sender, would like to receive the collection information.","Geben Sie hier Ihre E-Mail-Adresse an, wenn Sie als Versender die Abholinformation erhalten möchten."
"Error Logging Level","Stufe der Fehlerprotokollierung"
"Error: %1","Fehler: %1"
Errors,Fehler
"Exclude an alternative delivery to the neighbor if you are not available when the delivery is made.","Schließen Sie eine Ersatzzustellung beim Nachbarn aus, falls Sie bei der Zustellung nicht angetroffen werden."
"Failed to calculate next possible shipment date. Please revise your cut-off times setting.","Das nächstmögliche Versanddatum konnte nicht berechnet werden. Bitte überprüfen Sie die Konfiguration der Bestellabschlusszeiten."
"Field %1 is required.","Feld %1 is erforderlich."
"Find DHL Pickup Location","DHL Standorte finden"
"First name, last name of neighbor","Vorname, Nachname des Nachbarn"
Fri,Fr
"Furthermore, the DHL Paket module allows to request shipping labels for incoming orders directly within your Magento suite.","Mit der DHL Paket Versandmethode können Sie Versandscheine für eingehende Bestellungen direkt in Ihrer Magento-Instanz anlegen."
"General Settings","Allgemeine Einstellungen"
"Having issues configuring the extension? Contact our support desk:","Haben Sie Probleme beim Konfigurieren der Extension? Wenden Sie sich an unser Support-Team:"
"Here you can define default values for additional shipping services. Please note that selected options are only applied if they are valid for the given order. Incompatible services, e.g. domestic-only services for a cross-border order, will be omitted when booking a shipping label.","Hier können Sie Standardwerte für zusätzliche Lieferoptionen setzen. Bitte beachten Sie, dass Ihre Auswahl nur soweit angewendet wird, wie sie für die jeweilige Bestellung gültig ist. Nationale Services werden beispielsweise beim Buchen eines internationalen Versandetiketts nicht angewählt."
